_i_sentence_t0_t1
0_0_Warum machst du dir 'nen Kopf?_7.761407852172852_9.314697027206421
1_1_Wovor hast du Schiss?_10.049306392669678_11.214079141616821
2_2_Was gibt's da zu grübeln?_11.964992046356201_13.110366821289062
